LIST170427A-t15076-5K-35Deg.txt**Raman_Information**
Laser 633 nm
Power 10 perc
Grating 2400 cm-1
Objectif 100 x
Time 60 s
N._Acqu. 30 x
**Sample_Information**
Sample_ID t15076
Sample NdNiO3
Substr NdGaO3
Sam._Inf. 30nm
Sub._Inf. 111
Dist                     0.0 
          0.0 1857.44809584 
          1.0        1977.0 
          2.0 2184.43948843 
          3.0        2100.0 
          4.0 2176.69923376 
          5.0 2207.19076155 
          6.0 2249.29655073 
          7.0 2351.78248138 
          8.0 2342.09266302 
          9.0 1676.39264763 
         10.0 2703.04112582 
         11.0 2261.24492788 
         12.0 2300.75941807 
         13.0 1961.21247984 
         14.0 1990.72109578 
         15.0 2488.74675113 
         16.0 2190.55119552 
         17.0 2385.81987694 
         18.0 2299.15289235 
         19.0 2309.24343191 
         20.0 2137.24183748 
         21.0 2077.09506905 
         22.0 1991.84584437 
         23.0 1951.92129186 
         24.0 1923.24148224 
         25.0 1940.27645773 
         26.0 1949.16602524 
         27.0 1922.39521966 
         28.0 2377.61316794 
         29.0 2168.58584946 
         30.0 2047.20832275 
         31.0 2032.96670862 
         32.0 2044.28455148 
         33.0 2104.74993303 
         34.0 2105.54688995 
         35.0 2251.01703421 
         36.0 2242.33632746 
         37.0 2141.44685086 
         38.0 2211.83047325 
         39.0 2206.93241155 
         40.0 2158.85712991 
         41.0 2187.91735862 
         42.0 2133.14120157 
         43.0 2205.27944779 
         44.0 2275.45252062 
